"","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359"
"V11",0.136321,0.136313,0.135375,0.139961,0.140173,0.141903,0.147315,0.148871,0.149648,0.150271,0.145377,0.13995,0.131251,0.122213,0.114216,0.103837,0.09918,0.092053,0.084977,0.083777,0.083478,0.079771,0.081385,0.081613,0.083257,0.083815,0.084546,0.086368,0.087193,0.089508,0.094338,0.098,0.107716,0.112322,0.124244,0.136314,0.148987,0.161379,0.180705,0.204802,0.223071,0.240004,0.252753,0.270504,0.295501,0.321587,0.34608,0.368403,0.391355,0.404096,0.417117,0.427628,0.436587,0.447246,0.460429,0.474186,0.482751,0.484407,0.477107,0.458833,0.427456,0.386619,0.347134,0.308428,0.269543,0.246695,0.224368,0.209577,0.194832,0.184661,0.172387,0.163741,0.153929,0.145614,0.137561,0.132786,0.132161,0.137683,0.141667,0.143268,0.153101,0.154155,0.156565,0.150954,0.146206,0.128182,0.113569,0.098653,0.085489,0.081282,0.079718,0.083691,0.085439,0.085053,0.08063,0.073131,0.063938,0.058565,0.056845,0.050064,0.045094,0.041718,0.036843,0.033715,0.029857,0.024252,0.020246,0.016823,0.016006,0.013209,0.010849,0.010372,0.009392,0.007237,0.007642,0.007122,0.00753,0.00635,0.006885,0.006552,0.006028,0.002937,0.005609,0.005214,0.006225,0.005632,0.006372,0.005052,0.004531,0.005287,0.004903,0.004042,0.003491,0.004409,0.004448,0.004362,0.005697,0.004179,0.003568,0.005609,0.004375,0.006075,0.007687,0.005791,0.005304,0.003678,0.005131,0.004814,0.004426,0.003467
"V12",0.110463,0.114261,0.116898,0.124111,0.126666,0.130321,0.133547,0.137023,0.137199,0.138439,0.130632,0.119081,0.105857,0.097634,0.089381,0.081022,0.075415,0.070015,0.063805,0.062555,0.061284,0.056912,0.055869,0.056786,0.057359,0.058206,0.057764,0.0581,0.059432,0.060042,0.05765,0.063599,0.069597,0.076738,0.087391,0.094976,0.105182,0.117506,0.128726,0.15702,0.170884,0.185861,0.193198,0.214216,0.235378,0.259363,0.284138,0.301877,0.31845,0.330987,0.34593,0.362908,0.377958,0.400173,0.423436,0.439534,0.448895,0.449646,0.436224,0.409421,0.379545,0.342254,0.308426,0.276577,0.245602,0.225229,0.202742,0.189627,0.172911,0.16358,0.154035,0.142436,0.133836,0.127397,0.121339,0.116887,0.11755,0.119945,0.124667,0.128605,0.134711,0.136224,0.138445,0.133518,0.1252,0.109785,0.098616,0.086685,0.074971,0.071569,0.071239,0.070029,0.073046,0.070905,0.069606,0.067609,0.064207,0.061586,0.057539,0.052166,0.04807,0.043903,0.039134,0.036236,0.029896,0.026485,0.023192,0.020024,0.018868,0.017031,0.014549,0.011658,0.010572,0.010252,0.008564,0.007782,0.008078,0.008368,0.008326,0.007263,0.007292,0.005201,0.004434,0.005465,0.006332,0.006334,0.007428,0.004557,0.004316,0.003813,0.0056,0.004454,0.005299,0.00426,0.00591,0.005857,0.003134,0.006761,0.005661,0.005614,0.005995,0.007235,0.006459,0.004514,0.005349,0.005708,0.006542,0.004403,0.005819,0.004399
"V13",0.09734,0.094788,0.096545,0.098605,0.099264,0.099002,0.100599,0.103829,0.102882,0.101916,0.101264,0.097968,0.091018,0.085035,0.081446,0.076803,0.070331,0.064626,0.061703,0.057342,0.059733,0.058253,0.057798,0.05899,0.057752,0.058811,0.061334,0.061848,0.061206,0.063616,0.067094,0.072341,0.078182,0.084646,0.090159,0.098987,0.10725,0.117794,0.128751,0.145074,0.159195,0.170615,0.178764,0.191448,0.207517,0.227867,0.24786,0.262382,0.276792,0.28677,0.296372,0.300406,0.30488,0.311597,0.31808,0.328627,0.332698,0.336285,0.333187,0.322241,0.30202,0.272408,0.243414,0.216003,0.188945,0.17121,0.155055,0.145811,0.13742,0.129141,0.119335,0.115211,0.106704,0.101868,0.095162,0.092833,0.092215,0.095509,0.10016,0.102729,0.106242,0.107966,0.109896,0.106324,0.102674,0.09221,0.080097,0.068017,0.060496,0.055639,0.057267,0.057819,0.058141,0.057339,0.052888,0.048073,0.041669,0.039712,0.033716,0.031575,0.028473,0.026038,0.022683,0.020955,0.016461,0.013714,0.012788,0.009793,0.00954,0.008445,0.008345,0.005063,0.007889,0.005424,0.00343,0.003443,0.003071,0.002887,0.002419,0.002467,0.002731,0.003189,0.004279,0.000954,0.003654,0.004646,0.003338,0.003474,0.003317,0.00374,0.002629,0.002833,0.002831,-0.000216,0.002922,0.002354,0.002466,0.001558,0.002134,0.003144,0.002338,0.002176,0.001785,0.003187,0.002839,0.004664,0.002107,0.001452,0.00295,0.001803
"V14",0.146603,0.149675,0.150952,0.153742,0.157298,0.158599,0.164663,0.167923,0.166524,0.164973,0.158564,0.149801,0.141615,0.131248,0.120045,0.111733,0.104265,0.094664,0.0859,0.085649,0.082758,0.080964,0.08122,0.080181,0.080784,0.078729,0.081662,0.082725,0.084744,0.084988,0.088809,0.095984,0.104339,0.11334,0.123743,0.138786,0.150555,0.166013,0.183252,0.212443,0.233115,0.252115,0.264649,0.285872,0.313412,0.342577,0.374625,0.39659,0.421297,0.436093,0.451278,0.467952,0.478662,0.499048,0.519897,0.537128,0.54974,0.55145,0.542095,0.516981,0.481469,0.436676,0.391339,0.349032,0.303725,0.277333,0.252325,0.23382,0.219204,0.20584,0.191554,0.181287,0.16927,0.160603,0.151089,0.146853,0.148235,0.151752,0.154854,0.16201,0.169268,0.17211,0.173891,0.166513,0.161525,0.141603,0.124077,0.108402,0.092261,0.086773,0.087338,0.090803,0.09115,0.091343,0.085943,0.079819,0.071698,0.068288,0.059892,0.05425,0.048594,0.04653,0.039928,0.036351,0.031611,0.028877,0.023714,0.01992,0.017108,0.015159,0.013858,0.012116,0.011896,0.009946,0.007327,0.007256,0.007168,0.006095,0.006776,0.007339,0.005554,0.004541,0.007215,0.00481,0.005359,0.006824,0.004568,0.006196,0.005572,0.005623,0.006152,0.005744,0.00442,0.00299,0.006832,0.008127,0.007335,0.006564,0.006391,0.006365,0.005444,0.008765,0.005331,0.00575,0.004884,0.005594,0.003607,0.005203,0.004673,0.004522
"V15",0.099264,0.100027,0.101353,0.103539,0.107154,0.107947,0.10728,0.111491,0.113103,0.112301,0.107227,0.104328,0.097291,0.089582,0.083901,0.078906,0.073198,0.068314,0.06045,0.060639,0.059529,0.059496,0.057524,0.059318,0.058202,0.058478,0.060456,0.062559,0.061546,0.064712,0.065744,0.071667,0.076283,0.082071,0.091061,0.097871,0.106256,0.117901,0.131169,0.14856,0.163938,0.173128,0.18296,0.199895,0.214989,0.23252,0.256587,0.270845,0.287585,0.296422,0.308966,0.316332,0.323389,0.334605,0.344736,0.355331,0.363646,0.362725,0.356353,0.340845,0.320012,0.287226,0.258897,0.230814,0.201822,0.186087,0.167313,0.155619,0.146439,0.138557,0.131773,0.122124,0.114049,0.105939,0.102012,0.099697,0.098417,0.100635,0.103211,0.108428,0.113567,0.116042,0.116758,0.112536,0.107914,0.094857,0.085009,0.072913,0.062863,0.060646,0.060485,0.059847,0.061778,0.062668,0.059459,0.05543,0.050609,0.047488,0.04053,0.039182,0.033866,0.032958,0.028798,0.024296,0.021819,0.017968,0.017045,0.013812,0.012595,0.011372,0.01057,0.009825,0.00674,0.007551,0.004946,0.005473,0.004452,0.005511,0.003735,0.00406,0.002702,0.003718,0.005052,0.005039,0.0035,0.003571,0.006982,0.004134,0.004352,0.003007,0.003212,0.003702,0.004714,0.00554,0.0031,0.004322,0.003666,0.003654,0.003566,0.00341,0.001641,0.002381,0.000781,0.004263,0.004382,0.003746,0.004222,0.003042,0.004059,0.004229
"V16",0.005817,0.005389,0.004572,0.005928,0.005933,0.005018,0.006186,0.006629,0.006962,0.00589,0.007558,0.0058,0.005146,0.004535,0.005409,0.005292,0.003884,0.004511,0.003884,0.003432,0.003854,0.003941,0.003124,0.003536,0.003888,0.004182,0.004876,0.003706,0.002,0.004328,0.005428,0.003397,0.003318,0.004956,0.005391,0.006808,0.006507,0.007112,0.009782,0.01202,0.009725,0.01114,0.011993,0.013962,0.015664,0.012792,0.014783,0.015871,0.016737,0.016777,0.018991,0.020737,0.020847,0.019285,0.02049,0.020598,0.02221,0.021566,0.022206,0.019642,0.019837,0.018208,0.014732,0.013212,0.012148,0.012227,0.008403,0.010551,0.009439,0.007655,0.007271,0.007402,0.006917,0.007682,0.006074,0.005583,0.007071,0.00513,0.007139,0.005425,0.007765,0.006481,0.007171,0.006242,0.004982,0.005637,0.003609,0.00422,0.003458,0.004136,0.004478,0.00357,0.004951,0.00414,0.003742,0.004937,0.002512,0.001122,0.002141,0.001857,0.003569,0.001977,0.003335,0.00243,0.002182,0.000935,0.000369,0.000202,0.000483,0.001108,0.000724,0.001562,0.001422,-0.000572,-0.00094,0.000775,0.001307,-0.002381,-0.000352,-0.001582,-0.000411,-5.4e-05,-0.000723,-0.00145,-0.001425,0.000496,-0.000618,0.000271,-0.000801,0.000719,-0.000113,-0.000755,-0.001036,-0.001596,-0.000144,0.000849,1.2e-05,0.000116,0.001191,-0.000321,-0.000871,-0.001099,0.001119,0.000417,0.000823,-0.000671,0.001055,-0.000963,0.000167,0.000883
"V17",0.024305,0.0238,0.025812,0.028882,0.027735,0.028114,0.028876,0.029954,0.027088,0.032126,0.030996,0.029808,0.026858,0.026741,0.025564,0.023371,0.023184,0.02486,0.022801,0.023895,0.02376,0.025575,0.02601,0.025822,0.028436,0.027136,0.03024,0.032528,0.03234,0.030944,0.031729,0.029601,0.031755,0.034418,0.034454,0.036086,0.038601,0.044272,0.044645,0.050191,0.054173,0.060171,0.058885,0.061156,0.065268,0.067822,0.071985,0.074276,0.077198,0.079331,0.08357,0.081443,0.081856,0.07895,0.078372,0.077037,0.074587,0.074255,0.072425,0.067974,0.063358,0.057989,0.052166,0.04857,0.042827,0.042015,0.038615,0.038017,0.035573,0.033338,0.032463,0.030364,0.029603,0.025969,0.024414,0.021748,0.024581,0.022229,0.026257,0.02518,0.025215,0.026876,0.027344,0.026898,0.028442,0.025412,0.024453,0.02383,0.020152,0.02324,0.022552,0.02047,0.019338,0.019952,0.018042,0.019434,0.018111,0.017191,0.019089,0.0164,0.016719,0.015805,0.016106,0.015755,0.012241,0.009206,0.007281,0.004624,0.005415,0.005208,0.004938,0.00327,0.002272,0.000717,0.001356,0.000312,0.003096,0.001674,-0.000387,0.001877,0.00191,0.000481,0.001957,0.002692,0.001504,0.001676,0.001744,0.001065,0.001063,0.000467,0.00151,0.002868,0.001801,0.001713,0.001031,0.001497,0.000816,0.000739,0.000826,-0.000215,0.001409,0.001742,0.001466,0.000789,6e-04,0.002261,0.000735,0.000317,-0.00101,-0.000452
"V18",0.058635,0.059205,0.06004,0.060494,0.060369,0.060689,0.060834,0.063183,0.063173,0.064642,0.06255,0.060328,0.060627,0.056221,0.054052,0.050611,0.048572,0.045861,0.043918,0.04413,0.04133,0.041266,0.041458,0.043394,0.043662,0.044944,0.047738,0.047195,0.04626,0.049103,0.052229,0.054001,0.056374,0.05948,0.061599,0.070577,0.07701,0.083106,0.088494,0.098285,0.107008,0.112138,0.119042,0.126286,0.132872,0.144964,0.155987,0.1629,0.173369,0.179443,0.185297,0.185367,0.184958,0.184512,0.187868,0.189514,0.190932,0.19318,0.188754,0.182341,0.173301,0.155808,0.139043,0.123525,0.108012,0.10006,0.090134,0.086628,0.0795,0.077498,0.074901,0.06879,0.064633,0.061836,0.058286,0.057296,0.053052,0.055242,0.058452,0.060744,0.062112,0.064688,0.064019,0.063052,0.062424,0.055806,0.049754,0.045102,0.039311,0.0378,0.03844,0.037354,0.039096,0.039114,0.033617,0.031237,0.029916,0.027516,0.023134,0.024211,0.020605,0.019311,0.019356,0.016786,0.012317,0.011749,0.008879,0.009563,0.007488,0.006047,0.003066,0.005083,0.004404,0.004711,0.001631,0.001909,0.003066,0.000851,0.002632,0.003864,0.00268,0.001849,0.003595,0.001383,0.000632,0.000659,0.001638,0.002742,0.002414,0.002189,0.00381,0.00253,0.000754,0.000827,0.003037,0.000846,0.001294,0.001266,0.001353,0.002541,0.001415,0.002291,0.001767,0.000273,0.001009,0.001699,0.00267,0.001712,0.00117,4.9e-05
"V19",0.095806,0.100738,0.105287,0.110454,0.113232,0.11519,0.120131,0.122858,0.121996,0.122204,0.116613,0.108471,0.100465,0.090787,0.082442,0.078122,0.073855,0.068966,0.064575,0.063251,0.065251,0.061755,0.061905,0.063256,0.064297,0.065616,0.066968,0.069772,0.067316,0.068854,0.067302,0.071693,0.078386,0.08154,0.091938,0.098533,0.105027,0.117563,0.129998,0.151883,0.168202,0.179341,0.187295,0.203612,0.219036,0.239567,0.258313,0.272615,0.288634,0.298099,0.312596,0.321166,0.331794,0.34648,0.363081,0.369871,0.375084,0.373613,0.362507,0.341123,0.312548,0.287035,0.257178,0.2326,0.208892,0.190153,0.173822,0.162227,0.149711,0.142154,0.136437,0.12534,0.118877,0.111856,0.104965,0.102701,0.101748,0.102919,0.107218,0.111379,0.116322,0.117263,0.11763,0.114524,0.110046,0.100047,0.090571,0.082144,0.073467,0.067885,0.067206,0.068549,0.068137,0.066501,0.067209,0.064864,0.06147,0.059301,0.05787,0.051155,0.049513,0.047533,0.042502,0.037514,0.034078,0.027569,0.025,0.019424,0.018148,0.015214,0.013389,0.011561,0.011372,0.012562,0.007984,0.008111,0.007717,0.004941,0.006368,0.006265,0.005182,0.00522,0.006933,0.004367,0.006069,0.005943,0.005124,0.00581,0.006721,0.004297,0.004863,0.005192,0.00439,0.004915,0.004319,0.005351,0.00513,0.005952,0.005729,0.005451,0.006233,0.004939,0.007319,0.004861,0.006587,0.00448,0.004991,0.002877,0.003763,0.00393
"V20",0.188926,0.194284,0.199805,0.206779,0.211952,0.217819,0.22372,0.228624,0.229375,0.230241,0.216702,0.198931,0.181702,0.164337,0.149995,0.141571,0.128712,0.119171,0.107828,0.10526,0.102655,0.099317,0.095116,0.094005,0.094631,0.096027,0.097776,0.096839,0.097791,0.098276,0.099455,0.109581,0.121016,0.132976,0.147901,0.163616,0.178798,0.200381,0.222286,0.265484,0.294361,0.319104,0.331726,0.362809,0.400992,0.441692,0.482993,0.511475,0.543735,0.565062,0.589313,0.613854,0.636401,0.676755,0.713294,0.737762,0.754559,0.7587,0.738261,0.696509,0.644528,0.584546,0.5251,0.471575,0.416246,0.379238,0.342729,0.318503,0.294634,0.273834,0.256554,0.241257,0.226465,0.214821,0.203728,0.199505,0.197354,0.204616,0.211531,0.219341,0.228585,0.230676,0.234723,0.224731,0.212703,0.187999,0.163426,0.14391,0.124979,0.117754,0.116168,0.118644,0.119986,0.119683,0.1175,0.110598,0.104285,0.098676,0.089134,0.082873,0.074927,0.068612,0.061133,0.055158,0.04772,0.041934,0.037082,0.033585,0.029637,0.025148,0.021387,0.019919,0.017505,0.015307,0.013586,0.012231,0.01361,0.012578,0.014164,0.009907,0.008229,0.008663,0.009578,0.009341,0.009174,0.008354,0.010824,0.009813,0.010096,0.006905,0.007396,0.009514,0.009277,0.009409,0.00853,0.007612,0.009263,0.008687,0.009602,0.010115,0.00779,0.009719,0.010697,0.009156,0.007523,0.009295,0.0094,0.006958,0.007107,0.009852
"V21",0.035525,0.040149,0.041392,0.043827,0.04428,0.045577,0.047927,0.049959,0.049465,0.047946,0.046266,0.043786,0.039603,0.035667,0.033729,0.031764,0.028137,0.027798,0.025358,0.02584,0.027136,0.026172,0.027388,0.027831,0.027379,0.026852,0.029509,0.029916,0.029979,0.029345,0.028964,0.030549,0.032156,0.035496,0.036277,0.043042,0.042933,0.04739,0.05252,0.062026,0.068439,0.071062,0.074876,0.079725,0.087115,0.095447,0.101472,0.111768,0.114121,0.118086,0.123786,0.127709,0.130446,0.13784,0.141435,0.145617,0.146189,0.14566,0.139801,0.130773,0.12093,0.109966,0.09899,0.090478,0.082476,0.074748,0.068703,0.063308,0.05907,0.055231,0.05342,0.047696,0.045121,0.04461,0.041081,0.040114,0.041801,0.041571,0.042436,0.042432,0.046526,0.046774,0.046905,0.0463,0.043146,0.038512,0.035141,0.031821,0.028974,0.028785,0.02888,0.029031,0.027992,0.026412,0.027081,0.024549,0.026071,0.024259,0.023999,0.021396,0.021715,0.021801,0.018695,0.0157,0.013718,0.014037,0.011563,0.010416,0.006779,0.007274,0.005989,0.004852,0.004322,0.004223,0.002995,0.00362,0.003122,0.003678,0.003196,0.001257,0.001775,0.002104,0.001874,0.001692,0.001853,0.00363,0.001332,0.002066,0.00179,0.001509,0.003235,0.001692,0.002198,0.002501,0.002185,0.003965,0.001026,0.002692,0.001858,0.001918,0.003979,0.001846,0.004205,0.001664,0.00319,0.000407,0.002429,0.003116,0.001537,0.001043
"V22",0.180221,0.187058,0.195373,0.198726,0.206432,0.211103,0.21718,0.224103,0.223592,0.223659,0.213047,0.193413,0.178501,0.16255,0.147213,0.138052,0.127348,0.117063,0.109167,0.105197,0.10185,0.099122,0.098062,0.09809,0.097671,0.098632,0.101073,0.103317,0.101606,0.100887,0.100779,0.110312,0.12142,0.135769,0.146504,0.161732,0.177869,0.198033,0.218827,0.262389,0.291436,0.312377,0.324821,0.35552,0.3923,0.430149,0.469101,0.496118,0.5291,0.546745,0.570156,0.59301,0.616282,0.651597,0.686752,0.709678,0.726488,0.726986,0.70604,0.66357,0.615743,0.559055,0.501177,0.451453,0.39977,0.365324,0.331321,0.30621,0.283712,0.267871,0.250256,0.234996,0.219602,0.207635,0.196799,0.191368,0.18988,0.197985,0.202171,0.211002,0.220163,0.224013,0.22416,0.216274,0.203137,0.181755,0.160834,0.141373,0.122557,0.117715,0.117345,0.117285,0.118284,0.117645,0.116576,0.109407,0.103565,0.097502,0.091672,0.084059,0.079108,0.07039,0.064662,0.058295,0.050351,0.043056,0.037463,0.032751,0.026748,0.024948,0.020666,0.019991,0.018274,0.016349,0.014432,0.01371,0.010769,0.01029,0.010881,0.010272,0.009037,0.010364,0.00789,0.010171,0.00885,0.01051,0.009938,0.008358,0.010368,0.008412,0.008174,0.008165,0.006245,0.009318,0.008242,0.009461,0.009604,0.009766,0.009444,0.011318,0.008794,0.009331,0.010317,0.009499,0.008923,0.008867,0.008426,0.008498,0.007225,0.007185
"V23",0.105441,0.111869,0.116438,0.118688,0.124121,0.127377,0.131727,0.135829,0.134606,0.135662,0.127971,0.116767,0.107247,0.097256,0.089539,0.083592,0.077037,0.071378,0.068345,0.066835,0.066624,0.063118,0.062266,0.063473,0.064121,0.063911,0.066977,0.067943,0.068332,0.067214,0.065623,0.070222,0.077894,0.085974,0.090532,0.101021,0.108377,0.121824,0.138316,0.16213,0.178753,0.191829,0.198229,0.21384,0.234542,0.257612,0.280514,0.296834,0.315809,0.326329,0.341088,0.352706,0.366862,0.387044,0.405452,0.418134,0.426117,0.424461,0.41109,0.385141,0.356042,0.323442,0.290222,0.262556,0.232848,0.215491,0.194128,0.18146,0.169168,0.159578,0.148786,0.138981,0.13127,0.123835,0.117102,0.113346,0.113909,0.116434,0.118919,0.122532,0.12944,0.131832,0.13392,0.127535,0.12153,0.10994,0.096428,0.087091,0.078471,0.073077,0.072458,0.073841,0.072459,0.07149,0.073437,0.067835,0.066991,0.064258,0.061629,0.057842,0.052812,0.049304,0.045364,0.037722,0.033534,0.031248,0.024758,0.021361,0.018711,0.015886,0.01314,0.012109,0.011259,0.011008,0.008887,0.007271,0.007268,0.005728,0.00471,0.005755,0.005321,0.006803,0.005892,0.004484,0.00585,0.005199,0.007243,0.007195,0.006588,0.005907,0.006086,0.00674,0.004331,0.005523,0.005165,0.003351,0.005928,0.005581,0.007403,0.004642,0.006793,0.005964,0.007222,0.005969,0.007974,0.006129,0.004866,0.007957,0.004959,0.004435
"V24",0.101093,0.100962,0.100366,0.10446,0.106304,0.107634,0.107667,0.112686,0.112349,0.112095,0.107768,0.101202,0.096449,0.08882,0.081965,0.076298,0.070041,0.066344,0.060011,0.059765,0.057077,0.057666,0.056081,0.055657,0.056884,0.055262,0.056831,0.056058,0.05795,0.059225,0.060621,0.06606,0.071868,0.079735,0.085552,0.096698,0.101698,0.114717,0.125241,0.14755,0.158295,0.171928,0.182194,0.195122,0.215591,0.235389,0.25606,0.270947,0.289006,0.30061,0.311011,0.320123,0.325329,0.338324,0.350872,0.361985,0.369931,0.374019,0.364938,0.353067,0.327833,0.298063,0.265258,0.234832,0.204614,0.18708,0.168583,0.158309,0.148207,0.139225,0.129323,0.122606,0.113595,0.108082,0.10251,0.097854,0.09907,0.102489,0.106558,0.110115,0.115556,0.119435,0.11935,0.112718,0.108062,0.098175,0.08313,0.071802,0.062867,0.058043,0.060287,0.059692,0.060818,0.060454,0.056354,0.055081,0.048224,0.043834,0.039486,0.036129,0.031221,0.029928,0.026417,0.02308,0.019898,0.016991,0.015129,0.014423,0.012245,0.010721,0.008244,0.008593,0.008107,0.005704,0.005504,0.005938,0.004968,0.003014,0.005044,0.003241,0.003421,0.002691,0.003648,0.001631,0.002893,0.00256,0.004653,0.003833,0.00318,0.00454,0.003264,0.004833,0.002479,0.002922,0.002723,0.003898,0.004028,0.002176,0.003725,0.002335,0.003391,0.003477,0.005121,0.003072,0.004471,0.003744,0.002916,0.003757,0.004366,0.002617
"V25",0.035604,0.035517,0.038348,0.038459,0.041061,0.041147,0.044117,0.044415,0.04381,0.044159,0.042679,0.039986,0.039967,0.035177,0.032065,0.031771,0.029393,0.029002,0.026844,0.027481,0.025323,0.029514,0.02744,0.027554,0.029957,0.030458,0.031974,0.034074,0.032688,0.031896,0.033147,0.032733,0.036034,0.037342,0.039295,0.044186,0.045947,0.05169,0.055976,0.061992,0.066088,0.071977,0.076665,0.080073,0.083333,0.091527,0.097251,0.102491,0.107804,0.11188,0.114753,0.118885,0.119653,0.121883,0.123506,0.12628,0.128232,0.125942,0.124021,0.11472,0.10588,0.096129,0.08708,0.080485,0.071047,0.066042,0.060283,0.056359,0.054343,0.049976,0.046938,0.044803,0.042271,0.038734,0.036149,0.037082,0.035197,0.036631,0.037099,0.039233,0.039957,0.039739,0.041225,0.040477,0.040579,0.037758,0.032605,0.032108,0.028947,0.028128,0.027346,0.026468,0.024358,0.024956,0.025261,0.027244,0.023437,0.023507,0.022838,0.022379,0.019118,0.020926,0.017652,0.015187,0.013119,0.012135,0.008964,0.008917,0.008058,0.005251,0.003679,0.002707,0.002743,0.002884,0.001059,0.002581,0.000563,0.002875,0.000734,0.001416,0.003668,0.003178,0.002233,0.002471,0.001253,0.001124,0.002497,0.001429,0.001317,0.001393,0.001435,0.000193,7e-04,0.003629,0.000777,0.001296,0.000603,0.001946,-0.000302,0.00298,0.001529,0.002499,0.002749,0.003219,9e-04,0.002927,0.003381,0.002428,0.002779,-0.000995
"V26",0.143488,0.150441,0.158048,0.161133,0.167777,0.172752,0.178433,0.182921,0.182819,0.181336,0.171637,0.156094,0.142433,0.129584,0.116452,0.109107,0.100255,0.092042,0.085018,0.081542,0.080182,0.07516,0.077613,0.071579,0.074652,0.073993,0.077083,0.076296,0.077723,0.078101,0.077265,0.084237,0.091689,0.101921,0.114573,0.125903,0.139239,0.153723,0.170338,0.208659,0.227789,0.247917,0.257649,0.279893,0.311181,0.342924,0.373169,0.398763,0.42331,0.440968,0.458071,0.479898,0.498983,0.531292,0.561372,0.581661,0.595047,0.595934,0.578966,0.541161,0.501753,0.457007,0.407933,0.367717,0.328302,0.29828,0.269364,0.251444,0.231734,0.216459,0.20327,0.190347,0.178472,0.167954,0.159682,0.158403,0.155798,0.162039,0.163486,0.170243,0.178646,0.183904,0.182916,0.174594,0.164861,0.146866,0.12994,0.113771,0.100228,0.093331,0.093269,0.094786,0.096108,0.093962,0.094272,0.090424,0.085064,0.079989,0.074213,0.070279,0.063923,0.059119,0.050775,0.047364,0.041959,0.036878,0.032219,0.026779,0.024842,0.020791,0.018455,0.015574,0.014579,0.013613,0.011742,0.011233,0.009804,0.007738,0.009354,0.00695,0.00823,0.008442,0.007398,0.006625,0.008466,0.007064,0.008641,0.006614,0.007013,0.00733,0.00588,0.008965,0.007262,0.00809,0.00666,0.007846,0.008934,0.009771,0.007165,0.006958,0.009855,0.009518,0.00817,0.007753,0.007298,0.006674,0.00625,0.006441,0.008452,0.007442
"V27",0.088105,0.084396,0.083206,0.082736,0.082749,0.083471,0.083182,0.083501,0.082929,0.083934,0.083134,0.080878,0.081033,0.075506,0.070869,0.066876,0.061002,0.055821,0.049876,0.048768,0.047677,0.048,0.04759,0.04582,0.046088,0.044639,0.044631,0.045488,0.046427,0.051594,0.053417,0.059649,0.063254,0.071143,0.07615,0.083623,0.092258,0.102823,0.111104,0.125205,0.133059,0.144072,0.155058,0.166564,0.179607,0.197969,0.214745,0.230186,0.240801,0.252278,0.260901,0.260586,0.265024,0.269697,0.274196,0.283,0.291752,0.293314,0.294928,0.291208,0.272569,0.246295,0.218644,0.190851,0.164304,0.148409,0.135768,0.127806,0.119118,0.109985,0.104449,0.098796,0.092071,0.086833,0.082761,0.080575,0.078135,0.081758,0.085975,0.089767,0.092391,0.09421,0.094948,0.092888,0.090944,0.077704,0.065551,0.05518,0.046182,0.043027,0.044994,0.045544,0.04818,0.049751,0.042835,0.03521,0.028589,0.023451,0.021657,0.018714,0.01479,0.01335,0.009724,0.008801,0.007953,0.004584,0.006167,0.005044,0.002946,0.004351,0.003139,0.00414,0.004058,0.002358,0.004998,0.00143,0.002842,0.000761,0.002835,0.001911,0.001537,0.003711,0.002077,0.003316,-0.000253,0.002766,0.001902,0.002327,0.003923,0.001973,0.002895,0.002251,0.001931,0.000404,0.001625,0.001705,0.001197,0.00199,0.001616,-0.000283,0.001508,0.00157,0.001515,0.00015,0.002504,0.001774,0.002174,0.002887,0.000473,-0.000124
